,IQ,Prev_Sem_Result,CGPA,Academic_Performance,Extra_Curricular_Score,Communication_Skills,Projects_Completed,Internship_Experience,Placement
67,107,9.73,9.76,5,5,9,1,1.0,0
68,104,5.34,5.45,8,4,4,4,1.0,0
69,113,9.73,9.41,3,2,6,2,0.0,1
70,126,5.12,5.16,2,2,1,2,1.0,0
71,88,5.66,5.49,3,5,6,0,0.0,0
72,64,8.7,8.34,8,8,4,2,0.0,0
73,121,9.45,9.72,3,6,6,5,0.0,1
74,127,5.02,5.47,10,5,8,4,1.0,1
75,106,7.62,7.31,1,0,10,2,1.0,0
76,71,6.73,6.82,10,4,3,4,1.0,0
77,93,7.52,7.84,2,1,8,3,0.0,0
78,109,8.41,8.73,9,1,7,2,0.0,0
79,116,9.74,9.94,10,0,9,4,0.0,1
80,100,9.74,10.11,6,5,1,5,0.0,0
81,129,7.61,7.17,2,7,9,4,0.0,1
82,122,6.2,6.09,6,6,3,2,0.0,0
83,113,5.85,5.94,2,7,6,3,0.0,0
84,87,5.41,5.71,2,1,5,4,0.0,0
85,90,8.11,7.91,8,6,10,1,1.0,0
86,93,9.88,9.73,2,6,3,2,1.0,0
87,100,6.39,6.02,6,0,1,5,1.0,0
88,100,6.32,5.86,1,1,9,0,1.0,0
89,90,7.43,7.46,9,8,3,0,1.0,0
90,81,7.7,7.51,5,2,6,5,1.0,0
91,86,6.69,6.76,6,2,5,2,0.0,0
92,99,9.41,9.78,1,0,7,0,1.0,0
93,101,9.0,9.41,5,10,3,4,0.0,0
94,81,6.89,7.34,4,6,4,0,0.0,0
95,99,7.59,7.81,7,3,6,2,1.0,0
96,104,5.6,5.11,1,2,6,0,1.0,0
97,105,7.06,6.99,2,5,2,4,1.0,0
98,109,7.45,7.38,10,10,1,1,0.0,0
99,108,9.81,9.62,9,0,6,1,0.0,0
100,120,9.96,10.12,7,3,7,4,0.0,1
101,115,7.86,7.47,6,7,5,0,0.0,0
102,138,7.49,7.54,4,2,10,5,0.0,1
103,116,5.96,6.2,7,3,4,1,1.0,0
104,107,6.61,6.76,9,4,4,0,0.0,0
105,113,6.49,6.41,10,6,8,1,1.0,0
106,90,6.56,6.6,10,9,4,2,0.0,0
107,76,7.99,7.54,5,4,8,3,1.0,0
108,85,6.79,6.44,6,9,2,1,0.0,0
109,99,7.55,7.35,4,6,7,2,0.0,0
110,111,7.52,7.56,10,5,10,2,1.0,1
111,99,5.08,5.43,4,4,3,1,0.0,0
112,108,6.57,6.23,10,3,7,4,0.0,0
113,114,5.42,4.99,3,4,9,0,1.0,0
114,90,6.91,6.91,5,8,3,1,1.0,0
115,92,5.12,5.24,4,8,10,4,0.0,0
116,68,7.08,7.22,9,8,2,4,1.0,0
117,96,7.98,7.94,5,6,6,2,1.0,0
118,117,9.44,9.09,4,0,2,1,0.0,0
119,80,7.29,7.49,9,3,1,3,0.0,0
120,116,6.91,7.07,10,0,2,3,0.0,0
121,91,6.44,6.72,4,5,3,5,1.0,0
122,113,5.62,5.6,7,0,5,4,1.0,0
123,111,9.72,10.11,9,4,1,0,0.0,0
124,80,9.73,9.96,4,1,2,0,0.0,0
125,97,9.25,9.28,10,10,9,3,1.0,1
126,89,9.87,9.69,7,10,8,3,1.0,1
127,93,6.61,6.53,7,3,1,5,1.0,0
128,133,6.21,6.54,8,4,2,1,1.0,0
129,106,5.89,5.57,8,1,3,2,1.0,0
130,87,5.39,5.45,3,8,9,0,0.0,0
131,88,7.16,7.0,1,2,5,0,0.0,0
132,93,5.64,5.3,10,1,8,0,1.0,0
133,124,5.17,5.55,3,8,7,5,0.0,0
134,101,6.03,5.81,9,0,4,1,0.0,0
135,99,9.08,9.55,9,5,5,5,1.0,0
136,108,5.2,5.32,2,7,3,2,1.0,0
137,83,9.09,9.25,3,10,5,1,1.0,0
138,85,7.2,6.88,3,10,5,3,1.0,0
139,125,5.51,5.1,8,5,2,4,0.0,0
140,60,9.28,9.19,10,5,1,2,0.0,0
141,66,5.57,5.16,4,5,5,4,0.0,0
142,106,7.24,7.15,1,8,2,0,1.0,0
143,83,5.49,5.78,2,8,3,0,0.0,0
144,95,8.18,7.82,8,2,3,1,1.0,0
145,88,5.27,4.8,9,5,1,0,0.0,0
146,100,7.25,7.64,8,5,8,1,1.0,0
147,107,8.06,7.97,7,10,9,1,0.0,0
148,103,7.37,7.33,3,7,1,3,1.0,0
149,111,9.79,9.81,6,4,10,2,0.0,1
150,75,5.56,5.88,3,3,5,3,0.0,0
151,98,5.71,5.24,7,0,10,2,0.0,0
152,101,8.32,8.38,3,2,8,4,0.0,1
153,97,8.06,7.78,10,3,2,5,0.0,0
154,94,9.23,9.3,5,2,4,0,0.0,0
155,111,9.65,10.1,8,4,9,5,1.0,1
156,91,8.94,8.69,2,8,10,3,0.0,1
157,114,6.63,6.76,7,10,6,5,0.0,0
158,108,7.62,7.81,2,10,8,4,0.0,0
159,80,5.72,5.47,7,3,9,5,0.0,0
160,114,5.27,4.86,1,9,6,5,0.0,0
161,110,9.94,9.95,7,7,9,4,0.0,1
162,79,7.73,7.34,9,8,5,4,1.0,0
163,89,5.56,5.15,10,1,3,0,1.0,0
164,81,7.55,7.53,3,8,3,4,1.0,0
165,95,7.26,6.84,5,1,5,0,0.0,0
166,108,6.42,6.15,5,8,9,5,0.0,0
167,97,7.15,7.46,8,4,4,3,0.0,0
168,63,6.56,6.65,4,9,5,0,0.0,0
169,90,8.62,8.91,5,7,3,3,1.0,0
170,99,6.19,6.61,6,3,4,2,0.0,0
171,84,7.14,7.41,1,10,9,3,1.0,0
172,64,6.27,6.3,5,3,10,4,1.0,0
173,112,8.5,8.61,8,6,2,2,0.0,1
174,125,5.46,5.96,9,8,7,2,0.0,0
175,105,5.15,5.62,7,8,3,3,0.0,0
176,86,5.05,4.65,6,6,1,1,0.0,0
177,86,5.05,4.74,5,2,7,1,0.0,0
178,124,6.86,6.56,5,2,8,4,0.0,1
179,79,7.3,7.51,5,3,6,2,0.0,0
180,98,6.91,7.1,5,7,8,2,0.0,0
181,119,5.31,5.07,5,3,2,0,0.0,0
182,99,6.09,5.89,9,6,2,0,1.0,0
183,71,6.69,6.96,8,8,6,5,0.0,0
184,86,6.98,7.1,4,1,5,1,0.0,0
185,83,7.81,8.24,10,6,9,1,0.0,0
186,94,8.73,8.29,7,6,4,4,1.0,0
187,121,8.41,8.24,7,5,4,2,1.0,1
188,85,6.96,6.6,4,3,7,0,0.0,0
189,105,7.56,7.97,9,10,7,5,0.0,0
190,120,9.27,9.17,3,10,4,0,0.0,0
191,81,8.11,8.18,7,10,5,4,0.0,0
192,93,5.16,4.73,5,4,2,1,1.0,0
193,98,6.19,6.43,2,1,3,1,0.0,0
194,114,8.07,8.36,3,5,8,2,0.0,1
195,93,9.65,9.81,6,6,8,2,0.0,1
196,128,8.28,8.52,3,0,9,0,1.0,1
197,97,9.87,9.47,5,8,8,2,0.0,1
198,99,5.9,5.43,6,1,4,4,1.0,0
199,97,6.22,6.64,8,7,5,3,0.0,0
200,93,8.41,8.32,4,4,9,4,0.0,1
201,98,7.94,8.41,3,3,6,1,0.0,0
202,95,7.57,7.35,6,9,3,2,1.0,0
203,106,5.1,4.81,8,2,4,0,0.0,0
204,97,7.86,7.92,6,3,4,1,0.0,0
205,125,5.45,5.79,7,3,5,1,0.0,0
206,83,5.66,5.52,7,8,3,1,0.0,0
207,120,6.25,6.5,5,3,4,1,0.0,0
208,74,7.47,7.13,1,9,5,5,0.0,0
209,96,8.58,8.46,7,9,10,3,0.0,1
210,100,7.42,7.77,8,4,2,0,1.0,0
211,99,8.55,8.63,7,5,9,3,0.0,1
212,120,6.58,6.99,3,0,7,3,0.0,0
213,110,9.52,9.99,8,9,10,4,0.0,1
214,99,9.61,9.35,8,3,2,2,1.0,0
215,88,7.21,7.34,4,10,10,5,1.0,0
216,82,6.65,6.6,3,6,7,2,0.0,0
217,100,9.77,9.8,10,9,9,1,0.0,0
218,94,7.6,7.15,3,8,3,2,0.0,0
219,115,5.82,5.75,7,6,4,3,1.0,0
220,81,5.38,4.96,2,1,8,2,1.0,0
221,78,6.5,6.54,8,2,9,0,1.0,0
222,88,8.83,9.31,8,10,7,1,0.0,0
223,80,6.99,6.58,4,2,10,3,1.0,0
224,96,7.29,7.76,7,9,9,4,1.0,0
225,87,9.95,10.42,10,5,6,3,0.0,0
226,85,8.26,8.38,7,5,8,5,1.0,1
227,117,5.38,5.22,8,0,8,5,1.0,1
228,95,6.41,6.19,8,0,9,1,1.0,0
229,96,5.5,5.62,10,7,8,3,1.0,0
230,105,6.78,6.45,10,10,5,5,1.0,0
231,87,6.6,7.04,7,1,5,2,0.0,0
232,99,6.67,6.23,3,4,5,1,1.0,0
233,117,8.43,8.71,7,4,3,3,1.0,1
234,67,8.88,8.79,5,3,6,4,1.0,0
235,101,8.03,7.6,6,0,1,1,0.0,0
236,90,9.76,10.2,5,8,8,2,1.0,1
237,102,7.53,7.67,8,7,9,4,1.0,0
238,79,7.68,7.89,1,7,8,1,0.0,0
239,126,6.04,6.39,7,2,4,2,0.0,0
240,98,9.8,10.1,2,6,6,3,0.0,0
241,105,6.09,5.95,9,8,10,5,1.0,0
242,135,9.59,9.28,9,3,1,1,1.0,0
243,74,8.26,7.95,3,10,4,1,0.0,0
244,77,7.25,7.48,8,0,4,5,0.0,0
245,128,5.62,5.58,5,10,10,1,1.0,0
246,97,9.52,9.83,3,9,8,2,1.0,1
247,113,7.12,7.54,5,3,7,4,0.0,0
248,110,9.83,9.84,6,7,5,4,1.0,0
249,82,7.72,7.29,9,8,6,3,0.0,0
250,87,6.32,6.42,9,10,5,1,0.0,0
251,117,8.36,8.31,6,7,6,1,1.0,0
252,102,5.85,6.28,2,0,8,4,0.0,0
253,100,8.75,8.65,3,0,2,5,1.0,0
254,114,9.67,9.3,3,2,10,0,1.0,1
255,96,8.12,8.21,9,10,7,3,1.0,0
256,110,9.29,9.37,9,8,8,1,1.0,0
257,98,6.53,6.47,9,2,3,0,0.0,0
258,103,5.27,5.03,8,9,1,4,0.0,0
259,116,5.06,5.54,4,1,6,0,0.0,0
260,62,7.74,7.56,8,4,5,4,1.0,0
261,99,5.17,5.38,5,7,3,2,0.0,0
262,78,7.58,7.42,6,0,9,5,0.0,0
263,98,8.1,7.69,1,5,7,3,1.0,0
264,103,8.66,9.09,6,5,1,0,0.0,0
265,84,9.23,9.16,8,6,9,5,1.0,1
266,139,5.45,5.47,4,1,5,1,1.0,0
267,99,5.61,5.92,4,3,6,3,1.0,0
268,112,9.46,9.43,6,6,2,2,0.0,1
269,92,9.18,8.88,3,2,5,4,0.0,0
270,90,8.12,7.72,6,1,1,2,0.0,0
271,84,8.44,8.56,1,10,8,4,0.0,1
272,85,6.83,6.37,8,5,8,0,0.0,0
273,100,8.74,8.27,3,8,4,0,0.0,0
274,97,7.09,7.17,2,2,10,1,1.0,0
275,88,9.1,9.57,7,4,10,2,1.0,1
276,137,6.8,6.69,3,9,5,4,1.0,0
277,127,8.27,7.99,4,6,10,5,0.0,1
278,88,9.99,9.63,8,5,2,0,1.0,0
279,127,9.25,9.21,4,5,4,2,0.0,1
280,96,9.19,8.69,10,4,10,4,0.0,1
281,92,5.24,5.45,10,8,1,1,1.0,0
282,131,7.8,7.46,9,8,3,3,1.0,0
283,118,5.46,5.27,4,7,2,5,0.0,0
284,99,8.76,9.01,8,10,3,1,0.0,0
285,106,8.42,8.19,4,4,4,5,1.0,0
286,111,6.84,6.44,10,0,7,5,1.0,0
287,100,9.16,9.15,5,9,9,1,0.0,0
288,127,7.7,7.83,10,7,2,4,1.0,0
289,101,7.15,7.55,4,4,1,0,1.0,0
290,86,9.81,10.17,10,9,4,1,0.0,0
291,88,8.73,8.41,10,8,5,1,1.0,0
292,98,5.35,5.56,7,3,2,5,1.0,0
293,107,5.12,5.22,6,1,10,1,1.0,0
294,100,9.08,9.33,5,3,7,3,0.0,0
295,101,9.2,8.7,6,4,6,0,0.0,0
296,96,5.22,4.87,5,6,10,1,1.0,0
297,105,9.28,9.78,2,7,2,3,0.0,0
298,96,7.87,7.57,6,4,10,3,1.0,0
299,82,8.61,8.86,8,7,1,0,0.0,0
300,124,6.68,6.58,6,3,5,0,1.0,0
301,110,8.32,8.68,6,4,4,1,1.0,0
302,105,9.9,10.31,9,9,5,4,0.0,0
303,107,7.81,8.12,2,3,5,5,0.0,0
304,90,8.18,8.39,6,6,6,2,1.0,0
305,99,5.98,6.3,1,6,8,0,1.0,0
306,98,5.05,5.52,5,9,2,1,0.0,0
307,92,8.09,8.25,7,7,9,0,1.0,0
308,124,7.16,7.34,5,6,2,3,1.0,0
309,121,9.95,9.99,1,7,1,4,0.0,1
310,100,7.76,7.47,7,2,1,4,1.0,0
311,114,8.04,8.19,1,1,9,4,0.0,1
312,86,5.93,6.23,5,7,10,5,0.0,0
313,115,6.1,5.67,4,1,10,2,0.0,1
314,99,9.55,9.84,6,6,6,4,0.0,0
315,95,6.91,7.16,5,4,7,2,0.0,0
316,112,9.12,8.87,5,8,7,2,0.0,1
317,107,7.57,7.7,3,0,7,5,0.0,0
318,85,8.49,8.3,1,1,3,1,0.0,0
319,93,6.54,6.16,9,8,2,5,0.0,0
320,79,6.61,6.97,1,7,3,0,0.0,0
321,115,8.41,8.51,2,9,3,1,0.0,0
322,107,6.7,6.7,8,0,9,0,1.0,0
323,93,5.12,4.8,5,6,6,1,0.0,0
324,121,7.65,7.83,2,0,10,1,0.0,0
325,84,8.5,8.31,4,4,9,3,0.0,1
326,88,7.11,6.92,5,2,1,1,0.0,0
327,129,7.33,7.53,3,1,9,1,0.0,0
328,94,5.72,5.6,9,5,10,4,1.0,0
329,109,8.46,8.81,2,0,4,0,0.0,0
330,116,7.06,7.0,6,0,1,4,1.0,0
331,113,5.88,5.79,9,9,5,5,0.0,0
332,108,7.84,7.78,7,5,8,2,0.0,0
333,108,5.59,5.93,5,9,9,1,0.0,0
334,109,7.79,7.72,8,0,8,3,0.0,0
335,86,8.72,8.81,2,3,10,3,1.0,1
336,109,9.45,9.37,10,10,2,0,0.0,0
337,74,7.62,7.52,1,8,9,0,1.0,0
338,102,5.57,5.7,4,5,10,4,0.0,0
339,81,7.76,7.94,8,10,5,0,1.0,0
340,94,9.58,9.81,4,1,5,2,0.0,0
341,117,7.14,7.27,10,10,4,0,0.0,0
342,115,8.82,8.68,6,8,6,0,0.0,0
343,112,5.47,5.22,1,1,9,0,1.0,0
344,109,5.45,5.11,6,7,1,3,0.0,0
345,95,7.01,6.56,8,9,10,2,1.0,0
346,98,8.21,8.55,7,2,2,5,0.0,0
347,92,6.34,6.5,1,5,2,1,0.0,0
348,98,5.18,5.37,4,3,2,5,0.0,0
349,99,5.82,5.89,5,10,10,2,0.0,0
350,87,6.13,6.62,5,9,10,1,1.0,0
351,122,7.72,8.02,2,4,2,4,1.0,1
352,100,5.25,4.84,4,8,4,0,0.0,0
353,98,9.84,10.2,3,5,1,0,1.0,0
354,91,7.32,7.21,6,3,9,2,0.0,0
355,82,9.99,10.45,4,7,4,0,1.0,0
356,90,9.95,10.14,3,1,4,3,0.0,0
357,106,8.4,8.0,7,2,3,1,1.0,0
358,116,8.41,8.54,10,0,8,1,0.0,1
359,109,6.0,5.99,9,4,5,0,1.0,0
360,82,5.25,4.79,7,3,2,1,0.0,0
361,127,7.75,7.92,2,1,4,1,0.0,0
362,81,7.68,7.33,7,10,2,4,1.0,0
363,87,9.42,9.71,2,0,2,3,0.0,0
364,131,9.1,9.5,2,5,1,1,0.0,0
365,119,5.18,5.17,8,10,1,1,0.0,0
366,108,7.02,7.26,1,7,7,3,0.0,0
367,95,8.83,9.22,6,5,2,5,1.0,0
368,106,8.87,9.36,10,8,2,1,1.0,0
369,108,7.95,7.47,9,2,8,2,0.0,0
370,122,5.76,5.87,6,5,5,1,1.0,0
371,100,8.59,8.47,4,4,8,4,0.0,1
372,74,5.05,4.89,8,5,3,1,0.0,0
373,108,8.18,8.17,6,7,5,3,0.0,0
374,118,7.8,7.36,6,1,4,5,1.0,0
375,98,5.39,5.1,4,3,6,5,1.0,0
376,86,6.34,6.02,2,3,4,2,0.0,0
377,86,6.8,7.23,1,9,8,2,1.0,0
378,111,6.71,6.31,6,6,4,3,0.0,0
379,93,9.03,9.34,1,6,3,5,0.0,0
380,114,6.28,5.84,4,9,2,1,1.0,0
381,104,9.03,8.99,10,2,6,3,1.0,0
382,105,6.65,6.72,2,10,9,2,0.0,0
383,102,6.89,6.81,8,9,9,0,1.0,0
384,121,8.26,7.81,7,7,5,0,1.0,0
385,101,6.18,6.21,5,3,3,5,1.0,0
386,93,7.73,7.97,2,1,6,0,0.0,0
387,66,8.75,8.77,5,10,6,5,0.0,0
388,103,9.42,9.34,3,8,6,2,0.0,0
389,115,6.08,5.96,9,6,6,1,0.0,0
390,89,6.8,7.16,6,0,1,0,0.0,0
391,116,7.34,6.91,2,10,10,5,0.0,1
392,103,8.63,8.79,6,0,8,2,1.0,1
393,99,6.74,6.37,8,9,2,3,1.0,0
394,98,5.52,5.87,7,5,10,5,0.0,0
395,99,5.01,4.97,6,7,7,4,1.0,0
396,74,8.84,8.85,8,5,8,0,0.0,0
397,106,5.94,6.29,10,5,3,4,0.0,0
398,115,8.14,7.86,8,8,4,0,0.0,0
399,109,8.99,8.56,6,6,1,1,0.0,0
400,116,7.68,7.53,5,6,8,2,0.0,1
401,96,7.5,7.65,10,4,3,2,0.0,0
402,111,6.25,6.3,6,4,7,4,1.0,0
403,93,9.48,9.39,8,1,2,1,1.0,0
404,100,9.16,8.95,1,6,4,4,0.0,0
405,62,8.23,8.21,4,2,5,0,1.0,0
406,90,8.8,8.64,9,10,2,3,0.0,0
407,93,5.27,4.78,2,4,2,1,1.0,0
408,114,7.77,8.22,5,10,6,1,0.0,0
409,120,6.42,6.6,8,6,9,2,0.0,1
410,110,5.57,5.09,2,1,4,3,1.0,0
411,103,6.22,6.06,5,6,1,5,0.0,0
412,89,7.96,8.23,9,10,4,2,0.0,0
413,87,6.62,6.73,2,3,3,5,1.0,0
414,95,5.96,5.68,8,8,2,4,1.0,0
415,101,8.83,9.11,6,7,4,2,0.0,0
416,98,8.83,8.55,10,10,1,5,1.0,0
417,114,8.42,8.7,7,9,6,5,1.0,1
418,104,6.35,6.33,3,3,3,2,1.0,0
419,94,5.29,5.18,7,3,10,5,1.0,0
420,91,8.77,8.36,1,9,9,5,0.0,1
421,100,7.72,7.62,7,6,4,2,0.0,0
422,97,5.64,6.0,5,10,4,1,1.0,0
423,65,5.33,5.73,3,4,6,1,1.0,0
424,90,8.49,8.13,2,8,7,2,0.0,0
425,101,6.35,6.67,8,0,6,0,0.0,0
426,94,9.0,8.97,4,2,1,2,0.0,0
427,88,8.79,9.2,7,1,7,4,0.0,0
428,112,7.61,7.34,5,2,9,3,1.0,1
429,120,9.31,9.04,1,5,2,1,0.0,0
430,115,8.87,8.39,4,7,5,5,1.0,1
431,93,9.91,10.07,5,0,7,3,1.0,0
432,109,6.87,6.6,9,1,5,0,1.0,0
433,122,7.44,7.77,3,1,6,2,1.0,0
434,109,6.98,7.16,1,4,4,1,1.0,0
435,107,5.54,5.28,3,7,9,2,1.0,0
436,97,7.4,7.55,2,9,3,3,0.0,0
437,111,8.61,8.57,9,7,10,5,1.0,1
438,94,6.09,6.09,9,0,8,5,1.0,0
439,83,7.19,7.67,8,8,6,1,1.0,0
440,131,8.98,8.55,10,7,10,2,0.0,1
441,110,9.99,9.52,7,1,7,3,0.0,0
442,87,9.0,9.15,1,7,6,4,0.0,0
443,89,7.32,6.95,5,0,3,3,0.0,0
444,113,6.59,6.42,2,2,2,1,0.0,0
445,110,9.37,9.16,10,2,8,1,0.0,0
446,77,7.18,7.2,10,5,6,4,0.0,0
447,88,8.91,8.58,3,6,5,5,0.0,0
448,93,8.55,8.05,4,2,6,2,0.0,0
449,97,8.93,8.92,9,8,5,1,0.0,0
450,93,6.66,6.26,4,8,6,5,0.0,0
451,75,6.4,6.84,10,2,7,4,0.0,0
452,90,5.83,5.98,10,1,9,4,1.0,0
453,120,6.41,6.3,8,4,2,5,0.0,0
454,90,6.32,6.55,7,9,6,2,1.0,0
455,107,5.21,4.77,3,8,10,2,1.0,0
456,94,8.38,8.06,10,3,9,5,0.0,1
457,93,6.25,6.63,4,0,8,1,0.0,0
458,91,5.54,6.04,2,10,8,0,0.0,0
459,87,5.37,5.6,9,6,8,5,1.0,0
460,89,7.47,7.65,5,0,10,0,1.0,0
461,106,5.06,4.95,4,9,2,5,1.0,0
462,110,8.55,8.72,9,2,7,5,0.0,0
463,77,5.61,5.25,1,3,10,1,0.0,0
464,96,5.38,4.89,8,7,7,0,0.0,0
465,94,7.9,7.93,1,3,2,4,0.0,0
466,111,9.9,10.37,1,4,1,3,1.0,1
467,107,8.72,8.26,1,3,4,5,1.0,0
468,116,6.37,6.72,6,3,2,3,0.0,0
469,109,9.46,9.28,6,5,8,4,0.0,1
470,108,5.72,5.84,7,9,9,2,0.0,0
471,111,9.15,8.84,2,8,7,0,0.0,0
472,86,8.03,8.05,9,7,8,1,0.0,0
473,117,7.71,7.86,6,10,5,1,1.0,0
474,108,8.25,8.58,7,3,10,3,1.0,1
475,90,6.39,6.19,9,9,7,0,1.0,0
476,92,6.64,7.09,10,5,5,1,1.0,0
477,137,7.75,7.56,4,9,1,2,1.0,0
478,96,7.36,7.81,1,10,2,5,0.0,0
479,93,8.21,8.31,4,0,2,5,0.0,0
480,100,6.02,6.27,8,10,8,1,1.0,0
481,105,6.45,6.03,10,3,8,3,0.0,0
482,95,8.48,8.48,10,5,4,4,0.0,0
483,99,9.95,9.58,9,1,9,5,0.0,1
484,127,9.67,9.32,5,9,5,1,1.0,0
485,101,5.86,5.6,9,1,8,4,1.0,0
486,94,9.98,9.99,10,0,2,1,0.0,0
487,106,6.91,6.6,10,3,5,2,0.0,0
488,103,6.1,5.67,7,6,6,0,0.0,0
489,107,8.23,8.06,6,9,5,4,0.0,0
490,97,9.38,9.56,3,8,4,4,0.0,0
491,107,7.55,7.86,7,7,8,5,0.0,0
492,127,9.38,9.55,2,8,2,4,0.0,1
493,76,6.37,6.65,5,0,10,1,1.0,0
494,111,9.06,9.42,5,3,7,5,1.0,1
495,107,7.99,7.75,9,8,2,0,0.0,0
496,117,5.19,5.26,9,2,1,0,0.0,0
497,95,7.57,7.97,10,2,4,1,0.0,0
498,102,6.34,6.06,6,2,8,3,1.0,0
499,77,6.86,6.91,7,6,10,0,0.0,0
500,93,8.04,8.05,9,9,1,3,0.0,0
501,79,6.63,7.12,10,4,9,0,0.0,0
502,127,5.13,5.62,7,9,5,1,1.0,0
503,100,5.42,5.39,7,7,9,2,1.0,0
504,110,8.53,8.63,4,3,9,1,1.0,0
505,119,7.17,6.69,2,6,10,2,0.0,1
506,60,9.44,9.48,9,1,7,4,0.0,0
507,64,6.34,6.08,10,9,10,1,0.0,0
508,102,5.58,5.32,10,6,6,4,1.0,0
509,108,5.86,6.35,5,3,2,5,0.0,0
510,110,7.41,6.95,8,7,6,3,1.0,0
511,103,9.22,8.98,3,6,7,5,0.0,0
512,101,7.82,8.01,3,3,2,0,1.0,0
513,86,9.59,9.21,8,5,9,5,0.0,1
514,85,8.91,8.67,8,8,2,3,0.0,0
515,90,6.29,6.38,9,2,3,1,1.0,0
516,79,6.05,6.43,5,8,4,0,0.0,0
517,113,7.12,7.05,10,5,4,4,0.0,0
518,90,7.64,7.93,4,3,3,3,0.0,0
519,89,9.04,8.76,3,2,3,2,0.0,0
520,100,7.72,7.78,8,1,9,0,0.0,0
521,99,8.03,7.76,9,2,6,4,0.0,0
522,108,9.27,9.58,8,7,3,3,1.0,0
523,100,7.52,7.47,5,1,8,5,1.0,0
524,110,8.87,8.9,3,6,6,4,1.0,0
525,102,8.22,7.77,1,3,8,3,1.0,0
526,96,8.41,8.51,4,3,4,5,0.0,0
527,115,8.64,8.44,8,5,2,0,0.0,0
528,95,8.31,8.3,9,7,3,3,1.0,0
529,136,8.51,8.65,9,1,7,4,0.0,1
530,84,5.61,5.25,4,9,3,5,0.0,0
531,81,6.71,7.08,6,10,7,4,1.0,0
532,95,5.74,6.19,5,9,4,3,1.0,0
